Genes ABO SURF6 GBGT1
s5986 -1.54739752768416 3.63527583751875 0.584551299369825
s5990 0.0522507313158898 5.01380974751862 0.92311799936991
s5994 2.50964121731584 5.12860823751882 -0.376841117630027
s6000 0.894584821316042 2.47240755751859 0.369375519369896
s6002 -0.314331318684216 4.95941612751875 2.73216059436994
s6016 0.604419271315132 -3.64376025248115 0.813238735370039
s6021 -1.67155492686832 -1.00547917710515 -0.651814886764898
s6022 -0.427596596684324 -1.97794856248137 1.63058985436991
s6025 0.651129630131649 -2.97075989710515 -1.3843694887649
s6027 1.72230342613164 -2.56024283710514 -1.46164933976489
s6030 -1.47695516673952 -2.71932245072573 -1.5081598454191
s6031 -0.517690890868311 -1.05218600710516 -0.6623637487649
s6040 -1.21128160373941 -3.44044065072575 -0.896846811419114
s6045 -1.72652491586833 -4.70588487710515 -1.1487640587649
s6046 2.4516960072605 -1.62112504072577 0.0388062825808839
s6050 -2.52478346973955 3.21660962927429 0.234409239580901
s6058 -0.514391277739485 -0.766354210725736 1.07746797458089
s6060 -1.37566367773951 -1.35713658072573 1.18048977658089
s6061 -0.229232920868349 -3.29325589710514 -1.36723136176489
s6064 -2.61642219073951 0.921820799274266 -0.544064289419106
s6070 5.76737286226049 0.421204529274267 -0.539631880419106
s6071 -2.85979666292369 4.94703693465046 -0.661595128553926
s6078 -2.29190775962052 -3.48029809497443 -2.57268900770432
s6081 0.856613126076314 -3.01852562534954 1.59059358244608
s6082 -1.82489687562052 -1.28460185497443 -1.45917902270432
s6084 -5.52054076862052 4.34419999502557 0.448655738295676
s6086 -3.38615279562052 -1.00823183497443 1.00552605429568
s6087 -2.80105024892369 -0.552996885349543 -2.26634161955393
s6089 -1.47378305592369 -0.578315695349541 -0.634195047553926
s6090 -4.30770613862052 -2.56911545497443 -1.06992340070432
s6093 -2.14667148292369 -0.748834565349539 -0.415267333553925
s6101 5.35087223807631 -1.64113395534954 1.49355479744607
s6103 -3.01423130592369 1.14102413465046 1.76114066544607
s6105 9.09515705807631 -4.78061350534954 -0.757976713553926
s6107 -3.37187207692369 -3.41227997534954 -0.923094365553926
s6110 -3.93781292462052 9.79304478502557 0.511641114295676
s6114 -0.755051461620518 4.40484450502557 1.04661306529568
s6115 1.41039558107631 4.86684946465046 0.776713376446075
s6117 4.55800106807632 -1.42934824534954 -0.987193275553925
s6119 -4.10320572092369 10.5518818946505 1.98119061544607
s6125 4.37579085419531 5.68963295040176 0.921471446160857
s6127 -0.874258577804696 -3.24864326959824 -0.251608022839144
s6129 -4.97157666180469 0.58801418040176 0.182117206160856
s6135 0.708756234195304 -4.25741938959824 -0.774991910839144
s6136 -2.55777703233628 0.43438410411005 0.77693204984206
s6137 10.7030809441953 -0.510145539598241 1.14559508816086
s6140 14.9276405066637 1.94573565411005 0.63195356284206
s6143 4.98624034419531 -0.37299463959824 1.91132322916086
s6147 -0.306774875804695 -0.146359799598241 0.894803720160856
s6149 6.42368836419531 0.451571570401761 -0.0318958768391429
s6167 -5.45988488580469 -1.99307969959824 -2.13083992983914
s6179 1.82082866419531 -2.68853423959824 0.644310537160856
s6182 -4.39220924024563 1.59262644553516 0.355864215826103
s6185 7.46876000419531 -3.78803693959824 0.0482860691608568
s6188 -3.50563825024563 0.93488788553516 1.2500165598261
s6191 -2.8505816838047 0.0761527704017586 -0.469216096839143
s6197 1.74166096247954 0.647893169486243 -0.287240522292759
s6203 5.01294605247954 3.04294534948624 0.0360358267072407
s6204 -3.59543174024563 -1.47300137446484 -0.979077890173897
s6206 -5.00412199024563 -1.17182465446484 -0.605450616173898
s6207 -4.40857216752046 0.230658999486243 0.0689878087072409
s6210 -12.7546946392456 1.62770410553516 2.2156033048261
s6211 -5.21829540652046 2.43977603948625 1.01802341970724
s6220 1.10461775975437 -0.622638424464842 1.1621297848261
s6222 -11.5250660912456 1.36956358553516 0.254301116826103
s6226 8.16783856975437 1.91493527553516 1.1917141828261
s6227 -2.85358915052046 0.233392159486244 1.64964377070724
s6228 0.753409459754369 0.228076575535156 -0.715403306173898
s6229 -0.210440957520463 -0.198381870513755 -0.306476001292759
s6230 6.88028363975437 0.846679955535157 0.589480774826103
s6231 1.29698430047954 0.536314239486243 0.51825814370724
s6232 4.74596675975437 -1.65056438446484 -0.0282810071738972
s6233 -4.31141436652046 -2.85199016051376 -1.13248719129276
s6235 -4.06205967252046 1.62125915948624 2.94095452570724
s6239 5.63585305247954 0.444760479486243 -0.576725704292759
s6241 6.74093976247954 -1.35519825051376 0.84289163270724
s6245 -8.21101340952046 -4.25150540051376 -0.951589328292759
s6249 2.21278646247954 -1.72338867051375 -2.34909681329276
s6251 4.17944892247954 0.824718629486244 -0.671027197292759
s6253 -4.47962300952046 -0.604292240513756 -1.44305963929276
s6267 -5.43547484952046 -1.41708139051376 -0.765978343292759
s6272 -7.04655952655608 -1.31851431410932 0.52338752807034
s6291 0.831677125570192 -1.23307872908865 -0.209386949308717
s6292 7.57474165844392 -2.18588430410932 0.65986647007034
s6293 -9.24369004742981 1.89578718091135 0.730015772691283
s6294 -0.357018899556081 0.840772935890683 0.28493665507034
s6295 -2.43538579442981 0.381422330911349 -1.45920280830872
s6310 4.44591270844392 -2.36497402410932 -1.02107122592966
s6322 -5.98064198455608 -3.00310637410932 -0.29234578192966
s6328 2.43329523844392 -2.85843424410932 -1.18112340692966
s6330 4.12213534844392 2.24321885589068 1.09656866907034
s6332 3.51701007844392 1.82759675589068 -0.0418248159296598
s6340 -5.04926943555608 -2.92344690410932 -0.444583932929659
s6341 7.89620731557019 0.069688370911351 0.942438833691284
s6345 4.72228367557019 -0.242575549088648 -1.02683579430872
s6347 2.77991892557019 2.34358987091135 -0.350462337308717
s6349 5.14843471557019 -1.19311538908865 0.418400725691284
s6351 4.23865170557019 -1.69120038908865 -1.52162813630872
s6352 0.0746508244439199 0.245984195890681 1.75742907107034
s6353 0.269532215570191 -1.99710748908865 -1.00324268030872
s6355 4.91741592557019 -1.92985519908865 -1.21099374630872
s6358 -1.03725308655608 6.57760880589068 1.83374465507034
s6397 2.27742961425974 -1.72507252873313 -0.0163178740644784
s6401 -1.52154184074026 0.137474641266876 0.16088218593552
s6403 -3.32967889274026 -1.15153015873312 -0.0947019700644791
s6406 5.19118142765036 -3.11995090516122 -1.29114159608508
s6407 0.291584084259741 3.37178333126688 0.77255555793552
s6408 -5.97220869134964 0.761459394838783 -0.154300924085082
s6409 -7.26911368374026 -1.77499187873313 1.58588846793552
s6412 -4.84522060434964 -4.17681326516122 -2.81952741208508
s6421 4.86418501425974 -2.52738067873312 -0.218257849064479
s6434 5.93168032765036 -3.85015136516122 -1.89132388108508
s6435 -8.17654787874026 3.75595132126687 0.236223823935522
s6437 -6.75963098774026 2.66836046126688 0.21291484393552
s6458 4.05804033909209 0.764444977311898 1.10462043981741
s6462 -0.73514117590791 -0.0214015826881017 -0.215541843182592
s6463 6.81063146425974 0.0513453912668737 -1.12546031406448
s6466 -0.80346145151405 -1.40911311584222 -1.03840422307042
s6468 -2.08535484751405 0.440022444157777 -1.92301481707042
s6471 4.23323911425974 0.370643801266876 -1.36077755506448
s6473 9.69723043425974 2.10052312126687 -1.11606644406448
s6474 -0.764360066514049 5.11466274415778 1.16473615392958
s6479 -3.81478936574026 -2.35792820873312 -2.21186675806448
s6484 3.39928133948595 -3.10861993584223 0.295770495929582
s6490 -0.778846199514049 -5.83552471584222 -1.31728383507042
s6506 0.79227298248595 0.865836664157776 -0.179275319070418
s6507 -11.3210047365338 14.028158170215 7.8472231477801
s6512 -0.602640665514049 -1.84009429584222 0.204940441929582
s6525 1.51882311346619 -1.96058194978502 -0.333410782219902
s6526 1.55437910448595 2.44942090415778 0.467630909929581
