LCN1 SURF6 MED22 RPL7A SURF4 ADAMTS13 REXO4
s5986 -0.0264418525910924 3.63525225257162 1.54054413147355 13.9430676828948 -7.79845748653493 0.242295227238491 0.534892584323344
s5990 0.101522853476197 5.01377722514679 1.48982338216505 -0.285334141304962 -5.48001894687334 0.635396636608947 0.726104823463001
s5994 0.131198014517803 5.1285749738054 -1.10994557898017 -22.7606293595951 -1.40870940880166 0.458884548161328 0.174208389190604
s6000 -0.0264418525910923 2.47239151875447 1.71931768730155 -29.9808435527068 -5.14725248083988 -0.199778848435179 0.935471953003144
s6002 0.015342159035425 4.95938396196491 1.30264532904729 -23.1914050097602 12.7389850744369 -0.326126240895755 1.72533640756323
s6016 -0.0264418525910915 -3.64373661831807 0.499506395506192 -25.533561971197 9.17725473303228 -0.406137598982346 1.88537248425931
s6021 -0.0237159361108415 -1.00547264937618 -1.95653900063032 -0.427864656391909 -7.13619228796243 -0.31022152208714 -1.55004447670509
s6022 -0.0264418525910927 -1.9779357357929 0.80188648652376 -10.8556457052139 5.52559602417523 -0.527440023801873 2.2394204482244
s6025 -0.0237159361108406 -2.97074062815938 -0.850332046148724 20.0958370897792 -6.67035052016492 0.0160235439463389 -1.6872499950536
s6027 -0.0237159361108406 -2.56022623335647 -0.554980740538724 28.1617211213351 8.10009274565949 0.1672918110895 -1.55135506288921
s6030 -0.0246202316299208 -2.71930481158915 -2.27676840588827 -43.2419952024411 -5.06723727185594 0.033670379998698 -1.39890996251221
s6031 -0.0237159361108407 -1.05217918314129 -1.55917738873762 28.487915228553 -5.31661150063274 0.424023456977413 -0.768342751408061
s6040 -0.0246202316299212 -3.44041833066336 0.258259258890324 10.9918805563952 -9.57041174731891 -0.0289951699091656 -0.699694816831583
s6045 -0.0237159361108406 -4.70585434724889 -0.518742900961825 43.363513624213 4.93951266732309 0.149877899396827 -1.05185596751211
s6046 -0.0246202316299203 -1.62111452303708 0.489498832038129 14.3265278952259 -0.617246083189376 -0.115500360407608 -1.22801677401522
s6050 0.242889712620931 3.21658876631976 -0.820466363957002 43.2056390242891 -7.36854579736415 -0.110970854155119 1.94370746785459
s6058 -0.0246202316299209 -0.766349240613453 0.539626075416342 24.275494099504 0.155731789688953 -0.0236742414136666 -0.545845075162547
s6060 -0.0246202316299208 -1.35712778040565 -0.944339327678471 22.9682658485361 -0.46089027644854 0.104484529341084 -0.216025700042462
s6061 -0.0237159361108406 -3.29323453684987 -0.804005756020125 -21.0167703506089 -1.52384861281561 -0.324088889216568 -1.61195883645872
s6064 -0.0246202316299208 0.921814820867751 -0.902184938288362 12.6664634830531 -2.89570237106514 0.329188286744183 2.10779467865038
s6070 -0.0246202316299208 0.421201796946753 0.0929783876005387 21.5968852493531 -4.82199928320583 0.0993953000180894 -1.68066125694677
s6071 0.0680031379038311 4.94700484405133 -0.102651010393252 -14.7883062003733 10.7779578126014 -0.0577307799141074 2.10032665394805
s6078 -0.0160357042432698 -3.48027552215878 0.0229449947870897 22.7087588145667 -5.47160108784282 0.183170099365058 -1.89510430984704
s6081 -0.0218943151496694 -3.01850604336426 -0.867941180056462 -5.87114414133925 -0.903360470503461 -0.300177135486959 0.945614602686453
s6082 -0.0160357042432698 -1.28459352497948 -0.96041654200191 -4.51308146093734 13.342284846963 0.432213203845981 0.565498118778748
s6084 -0.0160357042432698 4.34417181692062 2.12303874620099 2.39795099794463 -4.64825412952062 0.499809862363174 2.64303732770534
s6086 0.0212560303863288 -1.00822529680008 0.00802587165108969 -22.3354128945283 1.63226807360848 0.179561669132972 -0.111735707050523
s6087 0.0261068175399872 -0.552993301535065 1.18832791560915 26.4900732983887 -3.92828408474216 0.28356510363724 -0.337641538926908
s6089 0.0323907896917106 -0.578311940433263 0.442565926952149 -18.8427686952793 -6.00392390577176 -0.154990324410652 -1.42506204638344
s6090 -0.0160357042432698 -2.56909878653738 -2.18983660272067 46.7715025590026 -9.33455577868512 0.125394552065463 -1.39955027932997
s6093 -0.0218943151496694 -0.748829711634365 -0.144383756228152 -13.3572430712803 -5.25231941575706 -0.0343566471637714 -1.23997692789341
s6101 -0.0218943151496694 -1.64112331352207 2.77039681437225 -22.9732914524803 14.1748861050946 -0.248335970913809 -0.954090751630998
s6103 -0.0218943151496694 1.14101673056034 -1.84713925681054 -19.1794468629823 10.5517457650661 -0.0582722816040844 2.04050097982675
s6105 -0.0218943151496694 -4.78058249614316 -1.01233974186592 -13.7429707139353 17.2353050641743 -0.118788473772284 0.680283124389453
s6107 -0.0218943151496694 -3.41225783696216 -1.40229451956428 13.9971716649477 1.55438200966064 -0.232201561499941 -1.6902423107724
