Gene	Cond	Pos_1	GalNac	FPKM	Pos_2	Type
	N	1	N	0	1	NN
	N	1	N	0	1	NN
	N	1	N	0	1	NN
	Y	1	N	0	2	YN
	Y	1	N	0	2	YN
	Y	1	N	0	2	YN
	N	2	N	0	3	NN
	N	2	N	0	3	NN
	N	2	N	0	3	NN
	Y	2	N	0	4	YN
	Y	2	N	0	4	YN
	Y	2	N	0	4	YN
	N	3	N	0	5	NN
	N	3	N	0	5	NN
	N	3	N	0	5	NN
	Y	3	N	0	6	YN
	Y	3	N	0	6	YN
	Y	3	N	0	6	YN
gatZ	N	22	Y	42.5065086	7	NY
gatZ	N	22	Y	46.18486263	7	NY
gatZ	N	22	Y	51.47951375	7	NY
gatZ	Y	22	Y	259.1310866	8	YY
gatZ	Y	22	Y	243.6091218	8	YY
gatZ	Y	22	Y	244.236718	8	YY
	N	5	N	0	9	NN
	N	5	N	0	9	NN
	N	5	N	0	9	NN
	Y	5	N	0	10	YN
	Y	5	N	0	10	YN
	Y	5	N	0	10	YN
	N	6	N	0	11	NN
	N	6	N	0	11	NN
	N	6	N	0	11	NN
	Y	6	N	0	12	YN
	Y	6	N	0	12	YN
	Y	6	N	0	12	YN
	N	7	N	0	13	NN
	N	7	N	0	13	NN
	N	7	N	0	13	NN
	Y	7	N	0	14	YN
	Y	7	N	0	14	YN
	Y	7	N	0	14	YN
	N	8	N	0	15	NN
	N	8	N	0	15	NN
	N	8	N	0	15	NN
	Y	8	N	0	16	YN
	Y	8	N	0	16	YN
	Y	8	N	0	16	YN
nirA	N	19	N	400.3968877	17	NN
nirA	N	19	N	407.5006461	17	NN
nirA	N	19	N	383.6114306	17	NN
nirA	Y	19	N	364.8396733	18	YN
nirA	Y	19	N	364.852437	18	YN
nirA	Y	19	N	394.9275408	18	YN
MET8	N	18	N	121.2515528	19	NN
MET8	N	18	N	128.4911947	19	NN
MET8	N	18	N	127.8666125	19	NN
MET8	Y	18	N	118.2351172	20	YN
MET8	Y	18	N	123.9432636	20	YN
MET8	Y	18	N	127.6189692	20	YN
cobA-hemD	N	17	N	77.83409116	21	NN
cobA-hemD	N	17	N	75.28946025	21	NN
cobA-hemD	N	17	N	75.51684833	21	NN
cobA-hemD	Y	17	N	69.87049294	22	YN
cobA-hemD	Y	17	N	78.23651752	22	YN
cobA-hemD	Y	17	N	72.34036342	22	YN
bioY	N	16	N	12.15979604	23	NN
bioY	N	16	N	11.84430944	23	NN
bioY	N	16	N	15.37884368	23	NN
bioY	Y	16	N	15.72247818	24	YN
bioY	Y	16	N	12.165596	24	YN
bioY	Y	16	N	13.20442355	24	YN
	N	8	N	0	25	NN
	N	8	N	0	25	NN
	N	8	N	0	25	NN
	Y	8	N	0	26	YN
	Y	8	N	0	26	YN
	Y	8	N	0	26	YN
nagA	N	15	Y	154.3022767	27	NY
nagA	N	15	Y	158.3743481	27	NY
nagA	N	15	Y	140.0478758	27	NY
nagA	Y	15	Y	350.4668734	28	YY
nagA	Y	15	Y	344.3763792	28	YY
nagA	Y	15	Y	389.5999916	28	YY
	N	15	N	0	29	NN
	N	15	N	0	29	NN
	N	15	N	0	29	NN
	Y	15	N	0	30	YN
	Y	15	N	0	30	YN
	Y	15	N	0	30	YN
	N	16	N	0	31	NN
	N	16	N	0	31	NN
	N	16	N	0	31	NN
	Y	16	N	0	32	YN
	Y	16	N	0	32	YN
	Y	16	N	0	32	YN
	N	17	N	0	33	NN
	N	17	N	0	33	NN
	N	17	N	0	33	NN
	Y	17	N	0	34	YN
	Y	17	N	0	34	YN
	Y	17	N	0	34	YN
	N	18	N	0	35	NN
	N	18	N	0	35	NN
	N	18	N	0	35	NN
	Y	18	N	0	36	YN
	Y	18	N	0	36	YN
	Y	18	N	0	36	YN
	N	19	N	0	37	NN
	N	19	N	0	37	NN
	N	19	N	0	37	NN
	Y	19	N	0	38	YN
	Y	19	N	0	38	YN
	Y	19	N	0	38	YN
gltD	N	14	N	14.14192496	39	NN
gltD	N	14	N	13.45850786	39	NN
gltD	N	14	N	11.36469438	39	NN
gltD	Y	14	N	24.14857672	40	YN
gltD	Y	14	N	25.60211477	40	YN
gltD	Y	14	N	25.14342317	40	YN
	N	14	N	0	41	NN
	N	14	N	0	41	NN
	N	14	N	0	41	NN
	Y	14	N	0	42	YN
	Y	14	N	0	42	YN
	Y	14	N	0	42	YN
	N		N	0	43	NN
	N		N	0	43	NN
	N		N	0	43	NN
	N		N	0	44	NN
	N		N	0	44	NN
	N		N	0	44	NN
	N	14	N	0	45	NN
	N	14	N	0	45	NN
	N	14	N	0	45	NN
	Y	14	N	0	46	YN
	Y	14	N	0	46	YN
	Y	14	N	0	46	YN
	N	24	Y	0	47	NY
	N	24	Y	0	47	NY
	N	24	Y	0	47	NY
	Y	24	Y	0	48	YY
	Y	24	Y	0	48	YY
	Y	24	Y	0	48	YY
	N	25	Y	0	49	NY
	N	25	Y	0	49	NY
	N	25	Y	0	49	NY
	Y	25	Y	0	50	YY
	Y	25	Y	0	50	YY
	Y	25	Y	0	50	YY
agaS	N	13	Y	48.36769636	51	NY
agaS	N	13	Y	43.98701874	51	NY
agaS	N	13	Y	39.02574462	51	NY
agaS	Y	13	Y	427.1715013	52	YY
agaS	Y	13	Y	384.7455975	52	YY
agaS	Y	13	Y	434.2938282	52	YY
agaF	N	12	Y	102.6211015	53	NY
agaF	N	12	Y	107.9787932	53	NY
agaF	N	12	Y	96.88794747	53	NY
agaF	Y	12	Y	501.7221939	54	YY
agaF	Y	12	Y	468.9558096	54	YY
agaF	Y	12	Y	569.073976	54	YY
	N	28	Y	0	55	NY
	N	28	Y	0	55	NY
	N	28	Y	0	55	NY
	Y	28	Y	0	56	YY
	Y	28	Y	0	56	YY
	Y	28	Y	0	56	YY
	N	28	Y	0	57	NY
	N	28	Y	0	57	NY
	N	28	Y	0	57	NY
	Y	28	Y	0	58	YY
	Y	28	Y	0	58	YY
	Y	28	Y	0	58	YY
agaV	N	10	Y	389.1527452	59	NY
agaV	N	10	Y	406.9981173	59	NY
agaV	N	10	Y	354.3104788	59	NY
agaV	Y	10	Y	3820.546054	60	YY
agaV	Y	10	Y	3815.268851	60	YY
agaV	Y	10	Y	4569.561015	60	YY
agaW	N	9	Y	519.6700951	61	NY
agaW	N	9	Y	571.2694285	61	NY
agaW	N	9	Y	466.2135293	61	NY
agaW	Y	9	Y	4984.734676	62	YY
agaW	Y	9	Y	5317.4987	62	YY
agaW	Y	9	Y	5996.521842	62	YY
agaE	N	8	Y	421.0569015	63	NY
agaE	N	8	Y	482.3117499	63	NY
agaE	N	8	Y	414.0868674	63	NY
agaE	Y	8	Y	4167.66554	64	YY
agaE	Y	8	Y	4359.332445	64	YY
agaE	Y	8	Y	5223.724974	64	YY
nagB	N	7	N	313.6039936	65	NN
nagB	N	7	N	370.4596167	65	NN
nagB	N	7	N	276.3165381	65	NN
nagB	Y	7	N	878.8187919	66	YN
nagB	Y	7	N	899.9363053	66	YN
nagB	Y	7	N	992.7770297	66	YN
dnaX	N	6	N	280.9160291	67	NN
dnaX	N	6	N	275.2582025	67	NN
dnaX	N	6	N	251.1024898	67	NN
dnaX	Y	6	N	250.3663145	68	YN
dnaX	Y	6	N	239.3366235	68	YN
dnaX	Y	6	N	241.5370959	68	YN
recR	N	5	N	327.6622371	69	NN
recR	N	5	N	300.7742864	69	NN
recR	N	5	N	318.8484555	69	NN
recR	Y	5	N	313.229942	70	YN
recR	Y	5	N	300.9554716	70	YN
recR	Y	5	N	290.6320571	70	YN
	N	36	N	0	71	NN
	N	36	N	0	71	NN
	N	36	N	0	71	NN
	Y	36	N	0	72	YN
	Y	36	N	0	72	YN
	Y	36	N	0	72	YN
	N	36	N	0	73	NN
	N	36	N	0	73	NN
	N	36	N	0	73	NN
	Y	36	N	0	74	YN
	Y	36	N	0	74	YN
	Y	36	N	0	74	YN
	N	38	N	0	75	NN
	N	38	N	0	75	NN
	N	38	N	0	75	NN
	Y	38	N	0	76	YN
	Y	38	N	0	76	YN
	Y	38	N	0	76	YN
	N	39	N	0	77	NN
	N	39	N	0	77	NN
	N	39	N	0	77	NN
	Y	39	N	0	78	YN
	Y	39	N	0	78	YN
	Y	39	N	0	78	YN
ppaC	N	4	N	295.7726683	79	NN
ppaC	N	4	N	299.9246053	79	NN
ppaC	N	4	N	321.81039	79	NN
ppaC	Y	4	N	338.3673671	80	YN
ppaC	Y	4	N	349.3506436	80	YN
ppaC	Y	4	N	347.2219391	80	YN
	N	41	N	0	81	NN
	N	41	N	0	81	NN
	N	41	N	0	81	NN
	Y	41	N	0	82	YN
	Y	41	N	0	82	YN
	Y	41	N	0	82	YN
	N	42	N	0	83	NN
	N	42	N	0	83	NN
	N	42	N	0	83	NN
	Y	42	N	0	84	YN
	Y	42	N	0	84	YN
	Y	42	N	0	84	YN
	N	43	N	0	85	NN
	N	43	N	0	85	NN
	N	43	N	0	85	NN
	Y	43	N	0	86	YN
	Y	43	N	0	86	YN
	Y	43	N	0	86	YN
	N	43	N	0	87	NN
	N	43	N	0	87	NN
	N	43	N	0	87	NN
	Y	43	N	0	88	YN
	Y	43	N	0	88	YN
	Y	43	N	0	88	YN
	N	43	N	0	89	NN
	N	43	N	0	89	NN
	N	43	N	0	89	NN
	Y	43	N	0	90	YN
	Y	43	N	0	90	YN
	Y	43	N	0	90	YN
fruA	N	3	N	26.47142214	91	NN
fruA	N	3	N	31.16181411	91	NN
fruA	N	3	N	30.28590049	91	NN
fruA	Y	3	N	38.52949383	92	YN
fruA	Y	3	N	34.35024737	92	YN
fruA	Y	3	N	35.50522776	92	YN
fruK	N	2	Y	23.86471516	93	NY
fruK	N	2	Y	19.816776	93	NY
fruK	N	2	Y	20.64353189	93	NY
fruK	Y	2	Y	31.51826702	94	YY
fruK	Y	2	Y	27.39273271	94	YY
fruK	Y	2	Y	25.88416802	94	YY
fruR	N	1	N	44.85127742	95	NN
fruR	N	1	N	48.68933976	95	NN
fruR	N	1	N	42.56517989	95	NN
fruR	Y	1	N	57.91583658	96	YN
fruR	Y	1	N	53.02033524	96	YN
fruR	Y	1	N	54.18548309	96	YN
	N		N	0	97	NN
	N		N	0	97	NN
	N		N	0	97	NN
	Y		N	0	98	YN
	Y		N	0	98	YN
	Y		N	0	98	YN
	N	50	N	0	99	NN
	N	50	N	0	99	NN
	N	50	N	0	99	NN
	Y	50	N	0	100	YN
	Y	50	N	0	100	YN
	Y	50	N	0	100	YN
	N	51	N	0	101	NN
	N	51	N	0	101	NN
	N	51	N	0	101	NN
	Y	51	N	0	102	YN
	Y	51	N	0	102	YN
	Y	51	N	0	102	YN
