id	Otu476	genotyping	group
4844	5.2964588	AO	F6_CC
4978	5.112443	AO	F6_CC
5254	4.059229	AO	F6_CC
5003	3.7187115	AO	F6_CC
5309	3.5439294	AO	F6_CC
5252	3.1592357	AO	F6_CC
4992	3.1218067	AO	F6_CC
5138	2.6640078	AA	F6_CC
4999	2.5522991	AO	F6_CC
4846	2.4845671	AO	F6_CC
5300	2.3221394	AO	F6_CC
5112	2.236667	AO	F6_CC
5582	2.1724718	AO	F6_CC
5290	2.1036508	OO	F6_CC
5379	2.0953352	AO	F6_CC
5348	2.0026702	AA	F6_CC
5319	1.9497754	OO	F6_CC
5135	1.9392007	AO	F6_CC
5356	1.9385777	AO	F6_CC
5307	1.9034426	AO	F6_CC
5302	1.8480702	AO	F6_CC
4916	1.8230098	OO	F6_CC
5485	1.8173465	AO	F6_CC
4873	1.7789785	AA	F6_CC
5417	1.7563566	AO	F6_CC
5105	1.7343399	AO	F6_CC
5293	1.7291507	AO	F6_CC
4990	1.6876561	AO	F6_CC
5258	1.6415171	AO	F6_CC
4997	1.6176771	AO	F6_CC
5144	1.5733101	AO	F6_CC
5487	1.5729534	AO	F6_CC
4972	1.5097419	AO	F6_CC
5434	1.4983946	AO	F6_CC
5606	1.4895679	AA	F6_CC
5113	1.4815582	AO	F6_CC
5018	1.4789882	AA	F6_CC
5416	1.4389223	AO	F6_CC
4864	1.4327381	AO	F6_CC
4968	1.3906641	AO	F6_CC
5318	1.3516271	AO	F6_CC
5520	1.3505218	AO	F6_CC
5457	1.3398108	OO	F6_CC
5336	1.3122821	AO	F6_CC
5141	1.2853208	OO	F6_CC
5343	1.2815931	OO	F6_CC
4842	1.2647857	AO	F6_CC
5163	1.2509613	AO	F6_CC
4923	1.206544	OO	F6_CC
5137	1.1672953	AO	F6_CC
5167	1.1459559	AO	F6_CC
5153	1.1397904	AO	F6_CC
5412	1.1288181	AO	F6_CC
5342	1.1225635	AO	F6_CC
4890	1.1062174	AO	F6_CC
5106	1.097835	AO	F6_CC
4967	1.0968269	OO	F6_CC
5513	1.0956531	AA	F6_CC
4988	1.0748836	AO	F6_CC
4942	1.0688897	AO	F6_CC
5143	1.0173304	AO	F6_CC
5165	1.0143746	AA	F6_CC
5313	1.0083431	OO	F6_CC
4952	0.9947964	AA	F6_CC
5648	0.9850457	AO	F6_CC
4930	0.9847164	AO	F6_CC
5181	0.9788926	AO	F6_CC
4954	0.9636466	AA	F6_CC
5058	0.9595753	AO	F6_CC
5286	0.9382011	OO	F6_CC
5132	0.9198222	AA	F6_CC
4881	0.9144317	OO	F6_CC
5094	0.9008087	AO	F6_CC
4989	0.8936779	AO	F6_CC
5431	0.892675	AO	F6_CC
4958	0.8722422	AA	F6_CC
5023	0.8671257	OO	F6_CC
5403	0.8634343	OO	F6_CC
5502	0.8529547	OO	F6_CC
5250	0.8436877	AO	F6_CC
5332	0.8412787	AO	F6_CC
4945	0.8334612	OO	F6_CC
5443	0.8226878	OO	F6_CC
5472	0.8050869	AO	F6_CC
5218	0.7893793	AO	F6_CC
5298	0.7800153	OO	F6_CC
5115	0.7730112	AO	F6_CC
5242	0.7713921	AO	F6_CC
5230	0.7693102	AO	F6_CC
5635	0.7458112	AA	F6_CC
5231	0.7427137	AO	F6_CC
5619	0.7154622	AA	F6_CC
5248	0.7148328	OO	F6_CC
5136	0.7142123	AO	F6_CC
4960	0.7026722	AO	F6_CC
5510	0.698837	AO	F6_CC
5056	0.6972214	AO	F6_CC
5046	0.6942318	OO	F6_CC
5385	0.6910673	AO	F6_CC
5301	0.6908732	AO	F6_CC
5176	0.6883541	OO	F6_CC
5436	0.6863348	AO	F6_CC
5359	0.6776181	OO	F6_CC
5390	0.6647576	OO	F6_CC
5140	0.6639767	AO	F6_CC
5610	0.6571854	AO	F6_CC
5284	0.6532945	OO	F6_CC
5447	0.652928	OO	F6_CC
5145	0.6448311	AO	F6_CC
4936	0.6440401	AO	F6_CC
5498	0.6378273	AA	F6_CC
5641	0.6340441	AA	F6_CC
5034	0.624584	OO	F6_CC
5453	0.617221	OO	F6_CC
5244	0.6125574	AO	F6_CC
5370	0.6023481	OO	F6_CC
5595	0.5985879	AO	F6_CC
4961	0.5968779	AO	F6_CC
5497	0.5965127	OO	F6_CC
5594	0.5889038	OO	F6_CC
5455	0.5868545	OO	F6_CC
5256	0.5831202	AO	F6_CC
5071	0.5767366	AO	F6_CC
5505	0.5710789	OO	F6_CC
4894	0.5701371	OO	F6_CC
4974	0.5611386	AO	F6_CC
5240	0.5609669	AO	F6_CC
5131	0.5608239	OO	F6_CC
5517	0.5424492	AO	F6_CC
4872	0.539699	AA	F6_CC
5612	0.5181081	AO	F6_CC
5404	0.5054115	AO	F6_CC
5070	0.5008177	OO	F6_CC
5236	0.5003063	OO	F6_CC
5352	0.4977167	AO	F6_CC
5537	0.4938526	AO	F6_CC
5617	0.4927626	AA	F6_CC
5347	0.480327	OO	F6_CC
5260	0.4801308	AO	F6_CC
5007	0.4790541	AO	F6_CC
5061	0.4701313	AO	F6_CC
5638	0.4698672	OO	F6_CC
4962	0.4640963	OO	F6_CC
5608	0.4548474	AO	F6_CC
5525	0.44914	OO	F6_CC
5362	0.4490254	OO	F6_CC
5444	0.4394032	OO	F6_CC
5354	0.4373553	AA	F6_CC
5450	0.4248567	OO	F6_CC
5572	0.4236207	AA	F6_CC
5123	0.41918	AO	F6_CC
4905	0.4150866	OO	F6_CC
5429	0.4130546	AO	F6_CC
4973	0.4088725	OO	F6_CC
5072	0.4040921	AA	F6_CC
5393	0.3944874	OO	F6_CC
5039	0.3889458	AO	F6_CC
5574	0.385307	AO	F6_CC
5020	0.3827898	OO	F6_CC
5125	0.382302	OO	F6_CC
5173	0.3781105	AO	F6_CC
5647	0.376541	OO	F6_CC
5155	0.3743398	AO	F6_CC
5122	0.3671222	OO	F6_CC
5175	0.3622819	AO	F6_CC
5415	0.3478439	AO	F6_CC
5421	0.3467795	OO	F6_CC
5345	0.3426584	OO	F6_CC
5490	0.3379589	OO	F6_CC
5500	0.3293367	AO	F6_CC
5432	0.3280369	AO	F6_CC
5374	0.3265806	OO	F6_CC
4903	0.3260195	OO	F6_CC
5366	0.3163104	OO	F6_CC
5501	0.315988	OO	F6_CC
5229	0.3131417	AO	F6_CC
4889	0.312276	AA	F6_CC
5288	0.3120364	OO	F6_CC
5295	0.3073928	AO	F6_CC
5014	0.302022	AO	F6_CC
5629	0.3009283	AO	F6_CC
4976	0.2964174	AO	F6_CC
5604	0.2962055	AA	F6_CC
5028	0.2910688	OO	F6_CC
5037	0.2858455	OO	F6_CC
4922	0.2857143	OO	F6_CC
5158	0.2822974	AO	F6_CC
5331	0.2822684	AO	F6_CC
5372	0.2809276	OO	F6_CC
5277	0.2804978	OO	F6_CC
5268	0.2802833	OO	F6_CC
5329	0.275989	OO	F6_CC
5449	0.2704496	AO	F6_CC
5142	0.2665027	OO	F6_CC
5049	0.2659297	OO	F6_CC
5476	0.261928	OO	F6_CC
5589	0.2614044	AO	F6_CC
5478	0.2608162	OO	F6_CC
4983	0.2596324	AO	F6_CC
5084	0.254933	AO	F6_CC
4982	0.2529163	AO	F6_CC
4856	0.2529032	AO	F6_CC
5350	0.2516822	AA	F6_CC
5652	0.2516692	AO	F6_CC
5202	0.2471424	OO	F6_CC
5494	0.2463181	OO	F6_CC
5021	0.2458639	AO	F6_CC
5380	0.2453988	OO	F6_CC
5446	0.2451356	OO	F6_CC
4850	0.2408527	AO	F6_CC
5305	0.2403969	OO	F6_CC
5042	0.2401267	OO	F6_CC
4910	0.2396248	OO	F6_CC
5420	0.235704	OO	F6_CC
5237	0.2344307	OO	F6_CC
4984	0.2314577	AO	F6_CC
5204	0.2301673	OO	F6_CC
5573	0.2298264	OO	F6_CC
5399	0.2260816	OO	F6_CC
5206	0.2197578	OO	F6_CC
4943	0.219343	OO	F6_CC
4840	0.2169197	AO	F6_CC
5035	0.2144936	AO	F6_CC
5108	0.2143513	OO	F6_CC
5386	0.2101486	AO	F6_CC
5633	0.2067504	AO	F6_CC
4947	0.2050756	OO	F6_CC
5104	0.2048551	OO	F6_CC
5210	0.2048026	OO	F6_CC
4950	0.2047292	OO	F6_CC
5422	0.2046664	OO	F6_CC
5533	0.2046245	OO	F6_CC
4908	0.1958258	OO	F6_CC
5169	0.1939171	OO	F6_CC
5341	0.1890166	OO	F6_CC
5031	0.1876662	OO	F6_CC
5575	0.1793768	OO	F6_CC
5507	0.178444	OO	F6_CC
5160	0.1743053	OO	F6_CC
5440	0.1733456	OO	F6_CC
5515	0.170033	AO	F6_CC
4926	0.1665366	OO	F6_CC
5382	0.1642795	OO	F6_CC
4987	0.1605386	AA	F6_CC
5054	0.1589418	OO	F6_CC
5622	0.1587871	OO	F6_CC
4979	0.1587464	OO	F6_CC
5052	0.158657	OO	F6_CC
4888	0.1551751	OO	F6_CC
5208	0.1480725	OO	F6_CC
5097	0.1479139	OO	F6_CC
5323	0.1437298	AO	F6_CC
5110	0.1432005	AO	F6_CC
4878	0.139672	AA	F6_CC
5570	0.1395998	AO	F6_CC
4975	0.1386891	OO	F6_CC
5299	0.1386322	OO	F6_CC
5316	0.1379099	AO	F6_CC
5189	0.133924	OO	F6_CC
5569	0.1281328	OO	F6_CC
4924	0.1250065	OO	F6_CC
5224	0.1224927	AO	F6_CC
5486	0.1182033	OO	F6_CC
5512	0.1175689	OO	F6_CC
4882	0.1135542	OO	F6_CC
5107	0.1123079	AO	F6_CC
4847	0.1076978	OO	F6_CC
4969	0.1072523	OO	F6_CC
5032	0.1070446	OO	F6_CC
5184	0.1022338	AO	F6_CC
5012	0.0983182	OO	F6_CC
5419	0.0924832	OO	F6_CC
5235	0.0769073	AO	F6_CC
5186	0.0767735	OO	F6_CC
5526	0.0720943	OO	F6_CC
5602	0.0716699	OO	F6_CC
4915	0.0669654	OO	F6_CC
5179	0.0667762	OO	F6_CC
5100	0.0666154	AO	F6_CC
4948	0.0619931	OO	F6_CC
5571	0.0566718	OO	F6_CC
4901	0.0564045	OO	F6_CC
5401	0.0563207	OO	F6_CC
4946	0.0516929	OO	F6_CC
5111	0.0510908	OO	F6_CC
5103	0.0466249	OO	F6_CC
5509	0.0460382	OO	F6_CC
4912	0.0414529	OO	F6_CC
4981	0.0359214	OO	F6_CC
5560	0.0307125	OO	F6_CC
4928	0.025582	OO	F6_CC
5634	0.0205973	OO	F6_CC
5039	1.4129934	AO	F6_D120
4133	1.343276	AA	F6_D120
4328	1.2752228	AA	F6_D120
4208	1.2582508	AO	F6_D120
4982	1.2105668	AO	F6_D120
4217	1.021246	AO	F6_D120
4048	1.0103587	AO	F6_D120
4958	0.9751366	AA	F6_D120
4148	0.9717224	AO	F6_D120
4989	0.9300424	AO	F6_D120
4872	0.9288084	AA	F6_D120
4192	0.9216827	AO	F6_D120
4856	0.907978	AO	F6_D120
4302	0.8980966	AO	F6_D120
4960	0.8715714	AO	F6_D120
4954	0.8598188	AA	F6_D120
4978	0.8166829	AO	F6_D120
4968	0.7936914	AO	F6_D120
5003	0.7118349	AO	F6_D120
4313	0.7039739	AO	F6_D120
4247	0.7009587	AO	F6_D120
4010	0.6954387	AO	F6_D120
4952	0.6923787	AA	F6_D120
4864	0.6692209	AO	F6_D120
4961	0.6675225	AO	F6_D120
4327	0.6554019	AA	F6_D120
4076	0.6506148	AO	F6_D120
4212	0.6478149	AO	F6_D120
4089	0.6324883	AO	F6_D120
4311	0.6278073	AA	F6_D120
4329	0.6242964	AO	F6_D120
4990	0.6178198	AO	F6_D120
4930	0.6139678	AO	F6_D120
4450	0.6102291	AO	F6_D120
4846	0.6038895	AO	F6_D120
4396	0.5919273	AO	F6_D120
4215	0.5892996	AA	F6_D120
4947	0.5748896	OO	F6_D120
4325	0.5705474	AO	F6_D120
4170	0.5689973	AO	F6_D120
4464	0.5637267	AO	F6_D120
4334	0.5532575	AO	F6_D120
4318	0.5529954	AO	F6_D120
4067	0.552769	AO	F6_D120
4878	0.5517523	AA	F6_D120
5031	0.5512173	OO	F6_D120
4017	0.5430606	OO	F6_D120
4499	0.5384063	OO	F6_D120
5021	0.5379374	AO	F6_D120
4950	0.5261276	OO	F6_D120
4916	0.5211793	OO	F6_D120
4331	0.5183208	AA	F6_D120
4378	0.5122951	AO	F6_D120
4050	0.5086313	AO	F6_D120
4908	0.5075101	OO	F6_D120
4042	0.4953023	AO	F6_D120
5058	0.4899209	AO	F6_D120
4117	0.4820266	OO	F6_D120
4216	0.4753143	OO	F6_D120
4257	0.4729348	OO	F6_D120
4432	0.4703236	AO	F6_D120
5007	0.4648074	AO	F6_D120
4984	0.461042	AO	F6_D120
4043	0.4571605	OO	F6_D120
