id	zscore	logp	method	annotation	color
Otu327	-10.458	24.87	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu476	-8.531	16.84	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu476	-8.485	16.67	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu24743	-5.052	6.36	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6408	-4.958	6.15	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu1278	-4.806	5.81	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1278	-4.397	4.96	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu485	-4.266	4.7	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6484	-4.175	4.53	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu3568	-3.909	4.03	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1147	-3.808	3.85	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu1147	-3.674	3.62	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu27542	-3.625	3.54	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6480	-3.582	3.47	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu113	-3.116	2.74	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium_Eubacterium_biforme	orange
Otu6420	-3.01	2.58	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu327	-2.909	2.44	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5973	-2.824	2.32	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6113	-2.798	2.29	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu113	-2.796	2.29	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium_Eubacterium_biforme	orange
Otu155	-2.676	2.13	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Sharpea_Sharpea_azabuensis	orange
Otu27542	-2.621	2.06	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5967	-2.613	2.05	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6649	-2.592	2.02	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6113	-2.498	1.9	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6498	-2.457	1.85	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5973	-2.45	1.85	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu3568	-2.432	1.82	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6649	-2.327	1.7	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu485	-2.252	1.61	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu31378	-2.171	1.52	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6420	-2.13	1.48	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6613	-2.125	1.47	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5864	-2.125	1.47	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6441	-2.11	1.46	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu489	-2.104	1.45	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu30625	-2.099	1.45	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu511	-2.07	1.42	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu19647	-2.051	1.4	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu3769	-2.031	1.37	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5898	-1.991	1.33	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_Asteroleplasma_anaerobium	orange
Otu507	-1.907	1.25	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu3769	-1.902	1.24	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu4602	-1.892	1.23	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6408	-1.882	1.22	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu329	-1.856	1.2	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1362	-1.792	1.14	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu24743	-1.731	1.08	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu26627	-1.715	1.06	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6484	-1.588	0.95	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu554	-1.583	0.95	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_Asteroleplasma_anaerobium	orange
Otu6592	-1.567	0.93	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu489	-1.543	0.91	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu166	-1.54	0.91	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu554	-1.512	0.88	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_Asteroleplasma_anaerobium	orange
Otu6544	-1.5	0.87	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Sharpea_Sharpea_azabuensis	orange
Otu520	-1.489	0.87	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6498	-1.451	0.83	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu486	-1.446	0.83	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5998	-1.441	0.83	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6039	-1.415	0.8	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu128	-1.393	0.79	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu24537	-1.386	0.78	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu25019	-1.382	0.78	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu24491	-1.379	0.77	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu516	-1.356	0.76	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5895	-1.276	0.69	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5947	-1.259	0.68	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6574	-1.257	0.68	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu511	-1.257	0.68	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6067	-1.232	0.66	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu1228	-1.186	0.63	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6613	-1.172	0.62	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5907	-1.153	0.6	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu155	-1.103	0.57	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Sharpea_Sharpea_azabuensis	orange
Otu1153	-1.072	0.55	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu507	-1.065	0.54	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu544	-1.06	0.54	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu474	-1.051	0.53	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	orange
Otu128	-1.043	0.53	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6203	-1.03	0.52	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu346	-1.025	0.52	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6250	-0.994	0.49	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu471	-0.96	0.47	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu19647	-0.952	0.47	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu479	-0.937	0.46	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu1228	-0.921	0.45	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu329	-0.899	0.43	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu26640	-0.879	0.42	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6441	-0.878	0.42	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu207	-0.861	0.41	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5947	-0.859	0.41	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5930	-0.835	0.39	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu216	-0.773	0.36	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu24905	-0.762	0.35	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu486	-0.754	0.35	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5966	-0.747	0.34	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu31378	-0.728	0.33	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu24885	-0.683	0.31	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5930	-0.659	0.29	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu216	-0.64	0.28	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu24781	-0.618	0.27	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu4602	-0.59	0.26	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu4035	-0.576	0.25	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu8705	-0.57	0.25	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia	orange
Otu6544	-0.569	0.24	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Sharpea_Sharpea_azabuensis	orange
Otu8705	-0.558	0.24	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia	orange
Otu6039	-0.543	0.23	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6592	-0.513	0.22	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu16891	-0.51	0.21	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu6480	-0.509	0.21	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu435	-0.506	0.21	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu3222	-0.501	0.21	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu435	-0.494	0.21	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu532	-0.493	0.21	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	orange
Otu6557	-0.457	0.19	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_L7A_E11	orange
Otu5888	-0.424	0.17	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium	orange
Otu1410	-0.391	0.16	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu487	-0.373	0.15	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	orange
Otu1410	-0.372	0.15	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu24905	-0.365	0.15	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1362	-0.354	0.14	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5898	-0.351	0.14	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_Asteroleplasma_anaerobium	orange
Otu6574	-0.351	0.14	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu6067	-0.337	0.13	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu505	-0.309	0.12	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu406	-0.306	0.12	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu3222	-0.286	0.11	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6203	-0.265	0.1	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu473	-0.243	0.09	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_L7A_E11	orange
Otu366	-0.231	0.09	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5998	-0.201	0.08	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5967	-0.188	0.07	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu544	-0.181	0.07	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu487	-0.165	0.06	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	orange
Otu24491	-0.131	0.05	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6250	-0.131	0.05	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu502	-0.099	0.04	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6983	-0.089	0.03	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_Asteroleplasma_anaerobium	orange
Otu30625	-0.069	0.02	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu26627	-0.057	0.02	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu16891	-0.047	0.02	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu5400	-0.046	0.02	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu471	0.001	0	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6983	0.009	0	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_Asteroleplasma_anaerobium	orange
Otu24537	0.011	0	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu1477	0.061	0.02	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5966	0.08	0.03	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu3957	0.116	0.04	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu573	0.121	0.04	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu492	0.16	0.06	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu25329	0.2	0.07	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu477	0.2	0.07	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	orange
Otu475	0.224	0.08	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1477	0.288	0.11	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1346	0.327	0.13	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5959	0.33	0.13	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu3957	0.338	0.13	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5864	0.346	0.14	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu533	0.35	0.14	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu502	0.365	0.15	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5400	0.368	0.15	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu276	0.394	0.16	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu24885	0.405	0.16	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu366	0.413	0.17	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu29	0.419	0.17	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu505	0.458	0.19	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu344	0.479	0.2	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5895	0.484	0.2	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu346	0.485	0.2	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu15716	0.488	0.2	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia	orange
Otu27986	0.492	0.21	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5866	0.519	0.22	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu532	0.537	0.23	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	orange
Otu5946	0.598	0.26	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu1153	0.643	0.28	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1925	0.646	0.29	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	orange
Otu25329	0.677	0.3	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu473	0.68	0.3	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_L7A_E11	orange
Otu15716	0.699	0.31	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia	orange
Otu207	0.784	0.36	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu26640	0.807	0.38	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu24781	0.834	0.39	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia_Bulleidia_p-1630-c5	orange
Otu1925	0.87	0.42	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	orange
Otu516	0.872	0.42	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu6557	0.889	0.43	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_L7A_E11	orange
Otu475	0.907	0.44	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu166	0.919	0.45	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu1346	0.934	0.46	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu479	0.956	0.47	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu24297	0.977	0.48	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu4035	0.982	0.49	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5866	1.026	0.52	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5907	1.094	0.56	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu520	1.095	0.56	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu344	1.157	0.61	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu6916	1.18	0.62	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5959	1.253	0.68	b_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu24297	1.253	0.68	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
